user_id,item_id,category_id,behavior,timestamp
9805,74706,517,fav,1509960186
33468,99840,3683,buy,1511057821
14759,12402,3997,pv,1511100576
29361,79718,18,buy,1510582671
48286,30084,4843,pv,1510796996
3004,3025,209,pv,1511064486
45989,28490,3458,pv,1511678638
15528,57494,4062,cart,1510915572
16130,88815,1793,buy,1510681032
2408,54649,4559,pv,1510245347
42245,94948,2429,pv,1510861024
48283,93317,4103,buy,1511595120
44929,24983,2486,fav,1511930091
33726,66328,3223,pv,1511479817
16908,97582,3312,buy,1510191245
25059,72032,3070,pv,1511306738
44500,66740,885,cart,1511650574
26772,48665,4012,pv,1511434071
3849,40539,4860,buy,1510180096
12048,65929,1860,pv,1510302432
36364,71971,1902,buy,1511620514
23532,75832,2895,buy,1510595039
44202,71926,4989,pv,1511074910
49529,67274,1059,cart,1511252753
4678,63158,2988,cart,1511582551
28092,63660,2923,buy,1510917156
1103,70679,4425,fav,1511387206
40312,3766,1881,cart,1511775639
39303,23795,751,fav,1509601743
45113,9334,682,pv,1511365614
1954,98947,2304,cart,1510592365
8175,81994,1513,fav,1510683140
5555,22050,1308,fav,1511677593
12019,86169,2236,fav,1511372756
47047,42305,4068,buy,1509944550
2548,40995,3167,fav,1511231060
13323,33971,891,fav,1511605181
14702,79483,3537,pv,1510410887
2170,52176,1200,pv,1510137643
30207,92454,4148,buy,1511750246
15457,82776,4232,buy,1510401750
35334,85101,252,buy,1511880873
22053,86584,3493,pv,1510718044
9236,27904,389,fav,1509762250
6009,40779,2441,cart,1511211152
38023,33177,1069,pv,1511817418
3484,77509,1783,buy,1510184994
47138,81752,4169,pv,1511050916
14133,45572,812,cart,1511870541
45181,56847,4845,cart,1511530668
7843,87388,3196,fav,1511579979
33754,2354,2666,buy,1510645674
2185,20673,1646,fav,1511828421
9856,44545,3517,cart,1510583530
45201,12736,3107,fav,1511706742
32752,69898,1923,pv,1509635051
6549,17534,1391,cart,1511723011
14957,35228,2722,fav,1511009556
23206,44701,934,fav,1510452056
40582,93830,4005,cart,1511898116
37121,13767,2628,pv,1511170999
5796,49937,1207,cart,1510895427
8516,80733,4813,buy,1509787100
38406,72225,1833,pv,1510584320
24913,38838,4624,pv,1511385623
19165,14220,375,fav,1509517532
41217,87972,120,pv,1511200089
8543,5345,1540,cart,1511926787
28591,21336,947,buy,1510167657
45622,31743,1303,pv,1511290553
25790,71262,2409,fav,1511466325
21608,13224,1701,fav,1509631779
2786,1477,2422,fav,1511352384
26642,41162,3265,pv,1509734840
21797,78932,3735,pv,1510514439
15102,81077,4448,buy,1510958046
17979,24115,4437,cart,1510754598
14055,32393,2953,pv,1510643304
6859,98834,3670,pv,1511874624
43170,44518,1864,buy,1510752346
3690,42992,1531,fav,1511894129
20844,32323,2739,pv,1511748246
41068,75988,4883,pv,1510493615
15428,2770,1997,buy,1509768963
18567,72347,581,pv,1509555836
42640,1399,2383,fav,1511534486
31725,20308,827,fav,1509789010
34375,87295,1420,cart,1510092912
10275,42014,2504,pv,1511622974
40445,38568,1035,cart,1510059851
36749,94816,261,fav,1511784846
49901,90486,1683,cart,1510719388
29353,70550,1294,pv,1510502838
17553,8542,3660,buy,1511769405
17398,71059,3600,buy,1509511177
26933,44490,1406,fav,1511503122
2599,84830,3414,pv,1509726995
46331,46623,4752,cart,1511955113
9200,18252,2123,fav,1511134082
37967,52670,1411,pv,1510445094
32850,1080,1455,fav,1511566525
43522,57551,1850,cart,1510778353
33445,90139,3923,cart,1511194685
23082,73553,2255,cart,1509667754
5689,67168,3021,cart,1511611539
14359,40968,2448,fav,1511782188
25354,21750,3808,pv,1509982522
40721,67464,4680,buy,1510204954
11209,32946,3496,cart,1511854328
48159,99419,428,buy,1511116508
47999,83589,2851,buy,1511625900
11800,71432,334,pv,1510535918
42186,13344,2192,pv,1510049137
41429,86570,672,buy,1510476386
26057,56843,3255,cart,1510830708
29713,16658,3998,cart,1509965505
29263,78832,4375,buy,1509960905
44287,38828,2275,cart,1511054609
37659,625,1556,buy,1511894448
2378,4138,4962,cart,1510557783
14540,22756,2333,cart,1511740336
14136,35912,2549,fav,1511337922
12008,71583,2925,buy,1511227067
8982,27486,4674,buy,1510324684
19615,14274,198,pv,1511853453
49972,1832,4467,fav,1510038516
5927,65684,3062,fav,1511299220
33966,88870,2924,fav,1509469143
9119,58075,3683,fav,1510744020
36343,52450,2781,buy,1509939956
43445,49587,3133,cart,1511801359
1253,36488,4901,cart,1511401610
40376,67852,3351,fav,1510179943
30451,81369,4350,cart,1510973125
35484,561,3189,buy,1511165350
23020,81577,4788,pv,1511532142
49874,32557,2383,pv,1511172677
48270,82578,1279,buy,1510599147
12675,9722,4960,pv,1510931299
18339,92901,3369,fav,1510103427
31282,34093,3970,cart,1511424770
34444,6049,2219,pv,1511942907
28695,9242,2910,pv,1511321510
2293,21613,4155,cart,1509855894
27340,83458,2260,fav,1510341745
35609,27324,1944,fav,1510594158
5492,9915,4287,fav,1511428268
34522,73192,408,cart,1510710789
43799,96449,4557,fav,1510958149
40955,97072,1902,buy,1511818791
27195,22691,3962,fav,1512025809
22603,93954,1822,fav,1512023916
47313,32111,251,buy,1510793219
29296,99923,2036,fav,1510262101
5753,82136,1357,buy,1511904307
48726,19522,4967,fav,1511392427
35510,21403,1136,cart,1511313951
24664,40701,3283,cart,1509951455
48065,27125,2503,pv,1509911812
15917,52136,2633,buy,1509884922
13239,5995,454,pv,1510373909
45780,4649,4051,buy,1510901910
44445,36089,968,cart,1509865027
15553,52490,1911,buy,1511352256
25765,98484,1382,cart,1510454351
19588,60730,4482,buy,1510354402
30602,93807,2113,fav,1511547371
39903,14641,1752,pv,1509659452
2010,785,3936,fav,1511072637
39027,37745,1605,buy,1510136973
43339,20058,250,pv,1511089935
10514,87238,4445,pv,1511834308
25870,33414,1065,pv,1511407098
43739,39867,119,pv,1511717859
4987,68900,1057,pv,1510613120
8696,56789,746,cart,1509581458
33745,83660,1068,fav,1510270598
44451,58756,3193,fav,1510589560
18029,84196,1992,cart,1509718030
39530,77497,1436,fav,1511262749
40672,91595,4590,pv,1510947143
36843,54186,4409,cart,1511715445
28795,86920,575,fav,1512026905
48259,98693,593,fav,1510210418
7328,19893,481,cart,1511261189
3942,7022,748,buy,1511567482
25264,13113,2562,pv,1509996710
35830,4449,3632,cart,1511123139
47376,58569,202,fav,1509844666
17384,42752,703,fav,1509609017
26181,7723,2139,fav,1510010880
18059,49931,960,fav,1509860109
28841,32263,4119,cart,1510850169
23194,66857,3204,buy,1509904693
9501,85634,3676,pv,1510687509
49704,20682,1639,fav,1511098184
35149,42596,798,buy,1510914225
9281,75454,532,pv,1510725972
43671,70050,2570,buy,1510716848
21892,46318,2234,fav,1511647068
33837,1228,4311,pv,1510089529
21782,95363,2668,fav,1511869397
5511,59320,2291,buy,1511370410
24865,97307,3118,pv,1511893965
4676,17739,400,buy,1511879858
17509,32260,4701,fav,1510982167
43172,48614,3298,fav,1511414154
40207,44723,4360,cart,1509587538
10722,32884,1812,cart,1509938555
13097,53984,411,pv,1511754464
45650,34929,877,cart,1510563239
5376,82955,4680,pv,1509770993
15246,84410,1421,buy,1509557242
39689,48348,3987,fav,1510388073
14132,78491,4044,cart,1511250041
30634,88652,3008,cart,1511487918
48567,9628,2102,buy,1510310180
1542,97982,4359,buy,1511622662
32921,10115,3308,buy,1509633871
24057,60190,53,cart,1510721182
46612,90714,46,pv,1510735021
34586,97992,2586,fav,1511670240
27963,71146,4243,buy,1511993797
42285,76260,2522,buy,1510731903
9581,66464,3639,cart,1511772443
11680,33227,79,buy,1511839192
3375,48382,3448,buy,1510646527
44187,98536,151,pv,1509843218
1315,50355,2203,buy,1510606272
25420,83440,3944,fav,1511094914
30894,15371,3963,fav,1510072495
28210,19532,149,cart,1510557096
25101,16761,4830,fav,1511197475
17903,67443,2354,buy,1510613476
29410,44127,3980,cart,1511526582
27339,93971,3483,pv,1509735885
9484,27119,1226,cart,1509575222
7767,33290,1276,buy,1509880636
27157,85252,1536,pv,1509839572
29028,80301,417,cart,1511707397
28648,45542,386,pv,1511784353
45503,55101,972,fav,1510634776
12733,62976,391,cart,1509831312
26540,16325,3665,fav,1511595544
33634,51622,952,buy,1509909481
10773,50741,1649,cart,1511649752
17882,54705,4397,fav,1511531196
42527,71507,1759,fav,1511503924
7740,1222,2842,fav,1509702321
36424,82079,3607,fav,1509888212
15978,66686,2250,fav,1510498864
27977,19542,1067,fav,1510284791
27720,73611,4903,pv,1511700241
40910,66863,1220,buy,1510598742
19336,63033,2506,fav,1511526372
15050,65473,3013,buy,1510479206
23177,23189,4963,cart,1511900590
46493,59228,4381,cart,1509709550
34026,42830,4330,cart,1510359745
21667,81698,4045,buy,1510849894
8759,16867,1148,fav,1510409435
6769,83365,4415,pv,1511827297
12277,89853,952,cart,1511828085
14068,66031,4650,fav,1511236705
22472,655,165,fav,1512046666
15435,11184,1840,fav,1510896163
18634,78892,4247,buy,1509562592
8972,43332,2843,cart,1509941236
17437,18879,4703,pv,1510921030
6070,12135,846,fav,1510795278
17315,35402,4339,pv,1510982918
3042,10365,1139,buy,1511026120
48189,83773,1983,pv,1510844777
18932,1143,4221,fav,1509936251
24092,84142,1032,fav,1511164976
6968,89098,4724,buy,1511833032
28441,70323,3226,fav,1510385798
42466,39771,4499,cart,1509691836
40327,66753,901,cart,1510474671
15091,57065,2249,pv,1510515904
36312,35611,4343,fav,1511450487
9262,52959,850,fav,1509755320
43888,71429,2975,pv,1510757982
30195,89545,1084,cart,1509777433
38963,18702,1772,buy,1510872640
24926,38418,1309,cart,1511066710
29817,53268,966,cart,1510597037
20352,87509,4946,pv,1511719112
1635,84370,1087,buy,1511822437
7628,60331,249,buy,1511976137
45515,55448,2262,fav,1511178683
27616,79500,3785,pv,1509881619
31851,5003,5,pv,1509931694
39495,18394,4346,fav,1511776783
18753,74578,2920,buy,1510493931
41749,31532,865,fav,1510131064
8628,5418,2570,buy,1510917903
17612,86287,457,buy,1511205964
25661,47121,2408,fav,1511315372
46825,31302,4995,cart,1509700611
23380,88316,930,cart,1511743249
43122,82138,3994,fav,1509975133
39193,2939,3935,cart,1511073019
